id;c_created_by_id;c_created_by_name;c_desc;c_created_date;c_modified_date;sm_id
1;90444;Vista content-based;connect global;2021-10-12T12:43:41;2021-10-12T04:30:02;43029
2;59182;parsing;systems;2021-10-12T00:43:02;2021-10-12T09:00:23;34566
3;2283;CSS web-readiness;disintermediate Data teal;2021-10-12T11:09:34;2021-10-11T20:02:04;85575
4;72663;help-desk Manors Djibouti;Frozen Communications;2021-10-12T03:03:04;2021-10-11T23:27:28;90325
5;65979;copying;Avon application;2021-10-11T20:58:36;2021-10-11T17:13:17;1084
6;12029;Plastic;Buckinghamshire;2021-10-12T06:26:20;2021-10-11T17:15:52;97103
7;51550;New;front-end Plastic;2021-10-12T15:12:22;2021-10-11T21:37:08;27897
8;10741;executive;Analyst 24/7;2021-10-11T19:22:26;2021-10-11T20:45:32;62582
9;18446;cross-platform;haptic array Books;2021-10-12T00:33:10;2021-10-12T14:13:03;85551
10;80547;Turkmenistan;generating;2021-10-12T00:35:34;2021-10-12T04:37:51;12022
