id;m_name;m_desc;m_spe_id;m_proj_id;m_created_date;m_modified_date;m_sm_num;m_due_date;m_finished_date;m_completed
1;Dynamic copying;transmit Practical;92055;70595;2021-10-11T19:30:33;2021-10-11T21:32:51;88315;2021-10-11T17:15:13;2021-10-11T20:02:42;false
2;mobile New;value-added;71350;10722;2021-10-11T17:40:19;2021-10-11T22:14:49;31795;2021-10-12T06:28:41;2021-10-11T18:38:40;true
3;B2C interface Unbranded;ADP New;28595;73865;2021-10-12T03:23:41;2021-10-11T20:24:44;82990;2021-10-12T13:37:43;2021-10-11T17:10:20;false
4;Global;Technician;72702;63662;2021-10-12T05:37:20;2021-10-12T06:49:22;97246;2021-10-12T09:46:54;2021-10-12T00:33:31;true
5;feed bifurcated Games;compressing Drive;80539;40894;2021-10-12T03:20:25;2021-10-12T14:22:45;98082;2021-10-11T17:14:44;2021-10-12T10:19:25;true
6;Buckinghamshire;productize;13625;36471;2021-10-11T21:50:59;2021-10-12T11:44:48;99260;2021-10-11T23:54:25;2021-10-12T10:48:50;true
7;quantify Tuna;Refined Awesome;6657;16231;2021-10-12T12:11:24;2021-10-12T14:51:32;24233;2021-10-12T12:53:56;2021-10-12T00:05:59;false
8;scalable Forward bandwidth;purple tangible;83497;50620;2021-10-12T06:32:21;2021-10-12T12:52:24;45901;2021-10-12T13:42:50;2021-10-12T14:01:37;false
9;Hat executive bandwidth-monitored;frictionless Buckinghamshire;6896;12953;2021-10-12T01:35:08;2021-10-12T00:14:56;60947;2021-10-12T13:08:55;2021-10-11T17:50:49;true
10;Consultant workforce;Metal;30992;33187;2021-10-12T01:32:19;2021-10-12T13:22:01;13279;2021-10-12T01:45:39;2021-10-12T14:41:20;true
