id;sm_name;sm_desc;sm_m_id;sm_spe_id;sm_created_date;sm_modified_date;sm_due_date;sm_finished_date;sm_completed;sm_tag_id;spe_id_sm_tag_id;sm_logged_time
1;Marketing multimedia XML;Frozen;42652;832;2021-10-11T18:53:21;2021-10-12T00:37:06;2021-10-12T09:16:58;2021-10-11T23:10:38;false;26414;3445;82355
2;Berkshire Chair;invoice cross-platform neural-net;24228;91379;2021-10-12T13:05:21;2021-10-11T22:42:51;2021-10-12T00:46:32;2021-10-11T23:03:00;false;84141;65538;46024
3;Turnpike;card;35253;23700;2021-10-12T03:57:49;2021-10-12T06:38:57;2021-10-12T14:23:09;2021-10-12T06:09:49;true;97341;82119;37497
4;programming;Customer-focused;7499;71909;2021-10-12T02:54:25;2021-10-12T08:57:30;2021-10-12T05:57:15;2021-10-12T10:56:01;false;5377;29968;89610
5;withdrawal Cotton;South e-business;70261;45262;2021-10-12T05:24:30;2021-10-12T06:16:35;2021-10-11T20:42:29;2021-10-12T11:05:16;true;81170;64346;52065
6;blue Intelligent;Rustic Plains Portugal;50568;60268;2021-10-12T13:39:36;2021-10-11T16:52:38;2021-10-12T08:45:34;2021-10-12T13:04:59;false;1619;54641;76766
7;capacitor navigating;global Chicken matrix;61684;20731;2021-10-11T19:34:51;2021-10-12T05:14:38;2021-10-12T07:18:59;2021-10-12T14:24:12;false;52116;37964;79155
8;Zimbabwe COM zero;Direct;40926;34535;2021-10-11T23:21:50;2021-10-12T11:11:00;2021-10-12T09:26:47;2021-10-12T15:19:56;true;53275;20573;41318
9;Oklahoma;Operations demand-driven application;84810;98890;2021-10-12T00:29:00;2021-10-12T15:11:29;2021-10-12T03:52:10;2021-10-12T16:07:10;true;9852;71530;50532
10;Tools Producer AGP;24 Louisiana productivity;28074;9944;2021-10-12T01:46:14;2021-10-11T20:50:10;2021-10-12T07:09:40;2021-10-11T17:04:03;true;14652;96288;94994
