id;c_created_by_id;c_created_by_name;c_desc;c_created_date;c_modified_date
1;90444;Vista content-based;connect global;2021-11-16T12:10:10;2021-11-16T03:56:31
2;43029;secondary red;North value-added;2021-11-15T18:46:38;2021-11-16T11:13:31
3;92474;Tools disintermediate;optical fuchsia transmitting;2021-11-15T22:18:14;2021-11-16T08:26:30
4;43920;Manors Djibouti;Frozen Communications;2021-11-16T02:29:33;2021-11-15T22:53:57
5;90325;Sports motivating;Fish;2021-11-16T10:55:11;2021-11-15T20:25:05
6;96235;Steel;compress;2021-11-15T22:48:20;2021-11-15T22:03:39
7;41161;Analyst New frictionless;Plastic Licensed executive;2021-11-16T02:54:51;2021-11-15T16:26:16
8;49399;24/7 SAS Ball;Nevis Bedfordshire;2021-11-16T13:08:04;2021-11-16T08:04:40
9;2275;Norfolk;primary Investor generating;2021-11-16T00:02:03;2021-11-16T04:04:20
10;12022;disintermediate;Games circuit compressing;2021-11-16T07:21:18;2021-11-15T23:37:31
