id;m_name;m_desc;m_created_date;m_modified_date;m_sm_num;m_due_date;m_finished_date;m_completed
1;Dynamic copying;transmit Practical;2021-11-15T17:39:54;2021-11-15T22:48:56;86697;2021-11-15T20:59:21;2021-11-15T18:33:46;true
2;Optional Brand deposit;Operations;2021-11-16T13:11:05;2021-11-15T17:06:49;75290;2021-11-16T08:07:38;2021-11-16T05:55:11;true
3;PCI wireless revolutionary;Cambridgeshire Toys Glen;2021-11-16T02:50:11;2021-11-15T19:51:14;82990;2021-11-16T13:04:13;2021-11-15T16:36:50;false
4;Global;Technician;2021-11-15T22:18:35;2021-11-16T00:28:46;44559;2021-11-16T06:15:52;2021-11-15T16:25:10;false
5;Zambia Latvian;web-readiness;2021-11-16T01:06:58;2021-11-16T07:30:54;83998;2021-11-16T09:25:49;2021-11-16T15:21:31;false
6;transmit;Tasty Versatile;2021-11-16T03:50:57;2021-11-15T20:13:13;62575;2021-11-16T12:44:51;2021-11-16T06:44:48;true
7;Cotton;Developer;2021-11-15T16:58:36;2021-11-16T03:30:36;75874;2021-11-16T02:23:00;2021-11-15T16:40:03;false
8;focus copying;Bahrain Car;2021-11-16T12:20:26;2021-11-15T23:32:29;29120;2021-11-15T16:52:44;2021-11-16T07:31:54;false
9;Forward bandwidth Idaho;tangible connecting Granite;2021-11-16T13:28:07;2021-11-16T05:37:00;88884;2021-11-16T14:18:42;2021-11-16T04:32:19;true
10;Response Plastic;withdrawal;2021-11-15T18:00:13;2021-11-16T03:37:21;83231;2021-11-16T02:50:05;2021-11-16T14:06:11;false
