id;sm_name;sm_desc;sm_created_date;sm_modified_date;sm_due_date;sm_finished_date;sm_completed;spe_name_sm_tag_id;sm_logged_time
1;Marketing multimedia XML;Frozen;2021-11-16T05:31:20;2021-11-16T15:33:32;2021-11-15T18:19:52;2021-11-16T00:03:37;false;Expanded quantifying web-readiness;1936
2;Dynamic Buckinghamshire Incredible;Soft microchip withdrawal;2021-11-16T04:13:47;2021-11-15T18:13:29;2021-11-16T00:44:41;2021-11-16T15:34:51;true;cross-platform;51472
3;Practical Assistant;programming;2021-11-16T12:00:30;2021-11-16T10:18:11;2021-11-16T12:28:37;2021-11-16T14:27:57;false;Kansas Managed superstructure;64351
4;Avon array;Pants Philippines Land;2021-11-16T10:31:47;2021-11-15T20:59:07;2021-11-15T20:16:41;2021-11-16T00:18:57;true;blue Intelligent;76681
5;Granite;Plains;2021-11-16T02:31:23;2021-11-15T22:35:27;2021-11-15T18:27:09;2021-11-16T03:37:21;true;Specialist;13940
6;and;Tactics convergence global;2021-11-16T14:29:47;2021-11-16T10:29:22;2021-11-16T02:18:10;2021-11-15T22:52:03;true;Market;20731
7;Isle Beauty mobile;Trail (Malvinas) Wooden;2021-11-16T13:10:03;2021-11-16T11:55:43;2021-11-16T05:56:11;2021-11-16T07:28:13;true;generation;53275
8;solutions;olive Nauru full-range;2021-11-15T21:07:38;2021-11-15T15:47:52;2021-11-15T19:24:16;2021-11-15T16:01:31;true;Algeria;9852
9;Buckinghamshire benchmark driver;payment;2021-11-16T15:33:56;2021-11-16T14:21:07;2021-11-16T02:13:26;2021-11-16T07:21:35;true;optical;9944
10;cross-platform hack;action-items Cotton Handcrafted;2021-11-16T00:59:04;2021-11-15T23:49:49;2021-11-16T09:29:08;2021-11-15T22:48:24;true;Rubber;90239
